chrom	length	bases	mean	min	max
CP075068	8340845	982867199	117.84	0	3841
CP075068_region	8340845	982867199	117.84	0	3841
CP075069	8079863	935146877	115.74	0	2512
CP075069_region	8079863	935146877	115.74	0	2512
CP075070	6494557	749234263	115.36	0	1491
CP075070_region	6494557	749234263	115.36	0	1491
CP075071	3437093	402998022	117.25	0	999
CP075071_region	3437093	402998022	117.25	0	999
CP075072	1489275	187588095	125.96	0	1352
CP075072_region	1489275	187588095	125.96	0	1352
CP075073	119732	25366200	211.86	0	1730
CP075073_region	119732	25366200	211.86	0	1730
CP075074	80756	3199089	39.61	0	138
CP075074_region	80756	3199089	39.61	0	138
CP075075	76740	19573723	255.07	0	774
CP075075_region	76740	19573723	255.07	0	774
CP075680	74407	192278584	2584.15	0	3676
CP075680_region	74407	192278584	2584.15	0	3676
total	28193268	3498252052	124.08	0	3841
total_region	28193268	3498252052	124.08	0	3841
