chrom	length	bases	mean	min	max
GG704911	8482323	146671624	17.29	0	1359
GG704911_region	8482323	146671624	17.29	0	1359
GG704912	5260912	75895171	14.43	0	557
GG704912_region	5260912	75895171	14.43	0	557
GG704913	4323945	81037087	18.74	0	817
GG704913_region	4323945	81037087	18.74	0	817
GG704914	3952524	64492856	16.32	0	1985
GG704914_region	3952524	64492856	16.32	0	1985
GG704915	3469364	62954993	18.15	0	950
GG704915_region	3469364	62954993	18.15	0	950
GG704916	3458857	50212879	14.52	0	591
GG704916_region	3458857	50212879	14.52	0	591
GG704917	68094	36894090	541.81	0	847
GG704917_region	68094	36894090	541.81	0	847
total	29016019	518158700	17.86	0	1985
total_region	29016019	518158700	17.86	0	1985
