chrom	length	bases	mean	min	max
CP075068	8340845	609162598	73.03	0	3420
CP075068_region	8340845	609162598	73.03	0	3420
CP075069	8079863	560369204	69.35	0	2900
CP075069_region	8079863	560369204	69.35	0	2900
CP075070	6494557	459934184	70.82	0	1245
CP075070_region	6494557	459934184	70.82	0	1245
CP075071	3437093	225969392	65.74	0	1801
CP075071_region	3437093	225969392	65.74	0	1801
CP075072	1489275	112263481	75.38	0	1595
CP075072_region	1489275	112263481	75.38	0	1595
CP075073	119732	14667156	122.50	0	2595
CP075073_region	119732	14667156	122.50	0	2595
CP075074	80756	1925453	23.84	0	89
CP075074_region	80756	1925453	23.84	0	89
CP075075	76740	11214538	146.14	0	1275
CP075075_region	76740	11214538	146.14	0	1275
CP075680	74407	132640566	1782.64	0	4058
CP075680_region	74407	132640566	1782.64	0	4058
total	28193268	2128146572	75.48	0	4058
total_region	28193268	2128146572	75.48	0	4058
