chrom	length	bases	mean	min	max
GG704911	8482323	783660024	92.39	0	6670
GG704911_region	8482323	783660024	92.39	0	6670
GG704912	5260912	404777581	76.94	0	1774
GG704912_region	5260912	404777581	76.94	0	1774
GG704913	4323945	423102289	97.85	0	8835
GG704913_region	4323945	423102289	97.85	0	8835
GG704914	3952524	333106228	84.28	0	5124
GG704914_region	3952524	333106228	84.28	0	5124
GG704915	3469364	336394350	96.96	0	25570
GG704915_region	3469364	336394350	96.96	0	25570
GG704916	3458857	275005859	79.51	0	5760
GG704916_region	3458857	275005859	79.51	0	5760
GG704917	68094	107573409	1579.78	0	3306
GG704917_region	68094	107573409	1579.78	0	3306
total	29016019	2663619740	91.80	0	25570
total_region	29016019	2663619740	91.80	0	25570
