chrom	length	bases	mean	min	max
GG704911	8482323	1005478069	118.54	0	2597
GG704911_region	8482323	1005478069	118.54	0	2597
GG704912	5260912	569543199	108.26	0	2331
GG704912_region	5260912	569543199	108.26	0	2331
GG704913	4323945	521191336	120.54	0	4322
GG704913_region	4323945	521191336	120.54	0	4322
GG704914	3952524	444740575	112.52	0	9966
GG704914_region	3952524	444740575	112.52	0	9966
GG704915	3469364	426132649	122.83	0	4240
GG704915_region	3469364	426132649	122.83	0	4240
GG704916	3458857	389514146	112.61	0	3450
GG704916_region	3458857	389514146	112.61	0	3450
GG704917	68094	118474885	1739.87	0	3633
GG704917_region	68094	118474885	1739.87	0	3633
total	29016019	3475074859	119.76	0	9966
total_region	29016019	3475074859	119.76	0	9966
