chrom	length	bases	mean	min	max
GG704911	8482323	1482489501	174.77	0	4889
GG704911_region	8482323	1482489501	174.77	0	4889
GG704912	5260912	846259232	160.86	0	2228
GG704912_region	5260912	846259232	160.86	0	2228
GG704913	4323945	774507305	179.12	0	6980
GG704913_region	4323945	774507305	179.12	0	6980
GG704914	3952524	702722359	177.79	0	10118
GG704914_region	3952524	702722359	177.79	0	10118
GG704915	3469364	640515904	184.62	0	5210
GG704915_region	3469364	640515904	184.62	0	5210
GG704916	3458857	581263512	168.05	0	4762
GG704916_region	3458857	581263512	168.05	0	4762
GG704917	68094	184487325	2709.30	0	6865
GG704917_region	68094	184487325	2709.30	0	6865
total	29016019	5212245138	179.63	0	10118
total_region	29016019	5212245138	179.63	0	10118
