chrom	length	bases	mean	min	max
CP075068	8340845	367691749	44.08	0	2698
CP075068_region	8340845	367691749	44.08	0	2698
CP075069	8079863	336599075	41.66	0	1974
CP075069_region	8079863	336599075	41.66	0	1974
CP075070	6494557	269035715	41.42	0	1246
CP075070_region	6494557	269035715	41.42	0	1246
CP075071	3437093	137655875	40.05	0	891
CP075071_region	3437093	137655875	40.05	0	891
CP075072	1489275	69483979	46.66	0	838
CP075072_region	1489275	69483979	46.66	0	838
CP075073	119732	12359297	103.22	0	2406
CP075073_region	119732	12359297	103.22	0	2406
CP075074	80756	955118	11.83	0	68
CP075074_region	80756	955118	11.83	0	68
CP075075	76740	7887488	102.78	0	1422
CP075075_region	76740	7887488	102.78	0	1422
CP075680	74407	118318367	1590.15	0	3716
CP075680_region	74407	118318367	1590.15	0	3716
total	28193268	1319986663	46.82	0	3716
total_region	28193268	1319986663	46.82	0	3716
