chrom	length	bases	mean	min	max
GG704911	8482323	532136982	62.73	0	57259
GG704911_region	8482323	532136982	62.73	0	57259
GG704912	5260912	283389941	53.87	0	2118
GG704912_region	5260912	283389941	53.87	0	2118
GG704913	4323945	269848004	62.41	0	73582
GG704913_region	4323945	269848004	62.41	0	73582
GG704914	3952524	234547503	59.34	0	2808
GG704914_region	3952524	234547503	59.34	0	2808
GG704915	3469364	234366315	67.55	0	2276
GG704915_region	3469364	234366315	67.55	0	2276
GG704916	3458857	192153299	55.55	0	3179
GG704916_region	3458857	192153299	55.55	0	3179
GG704917	68094	191323176	2809.69	0	4341
GG704917_region	68094	191323176	2809.69	0	4341
total	29016019	1937765220	66.78	0	73582
total_region	29016019	1937765220	66.78	0	73582
