chrom	length	bases	mean	min	max
GG704911	8482323	193815106	22.85	0	258
GG704911_region	8482323	193815106	22.85	0	258
GG704912	5260912	119122825	22.64	0	290
GG704912_region	5260912	119122825	22.64	0	290
GG704913	4323945	95181360	22.01	0	200
GG704913_region	4323945	95181360	22.01	0	200
GG704914	3952524	86546348	21.90	0	815
GG704914_region	3952524	86546348	21.90	0	815
GG704915	3469364	88541611	25.52	0	426
GG704915_region	3469364	88541611	25.52	0	426
GG704916	3458857	80834716	23.37	0	321
GG704916_region	3458857	80834716	23.37	0	321
GG704917	68094	39903796	586.01	0	831
GG704917_region	68094	39903796	586.01	0	831
total	29016019	703945762	24.26	0	831
total_region	29016019	703945762	24.26	0	831
