chrom	length	bases	mean	min	max
GG704911	8482323	399335873	47.08	0	177698
GG704911_region	8482323	399335873	47.08	0	177698
GG704912	5260912	183254599	34.83	0	7697
GG704912_region	5260912	183254599	34.83	0	7697
GG704913	4323945	240092824	55.53	0	323272
GG704913_region	4323945	240092824	55.53	0	323272
GG704914	3952524	167692682	42.43	0	8972
GG704914_region	3952524	167692682	42.43	0	8972
GG704915	3469364	203854718	58.76	0	8511
GG704915_region	3469364	203854718	58.76	0	8511
GG704916	3458857	123695196	35.76	0	2347
GG704916_region	3458857	123695196	35.76	0	2347
GG704917	68094	291048786	4274.22	0	9701
GG704917_region	68094	291048786	4274.22	0	9701
total	29016019	1608974678	55.45	0	323272
total_region	29016019	1608974678	55.45	0	323272
