chrom	length	bases	mean	min	max
CP075068	8340845	267683316	32.09	0	2843
CP075068_region	8340845	267683316	32.09	0	2843
CP075069	8079863	241130051	29.84	0	24134
CP075069_region	8079863	241130051	29.84	0	24134
CP075070	6494557	198502827	30.56	0	1525
CP075070_region	6494557	198502827	30.56	0	1525
CP075071	3437093	98936896	28.79	0	2276
CP075071_region	3437093	98936896	28.79	0	2276
CP075072	1489275	49888527	33.50	0	778
CP075072_region	1489275	49888527	33.50	0	778
CP075073	119732	9325867	77.89	0	1850
CP075073_region	119732	9325867	77.89	0	1850
CP075074	80756	825255	10.22	0	68
CP075074_region	80756	825255	10.22	0	68
CP075075	76740	7821547	101.92	0	1442
CP075075_region	76740	7821547	101.92	0	1442
CP075680	74407	80472938	1081.52	0	2514
CP075680_region	74407	80472938	1081.52	0	2514
total	28193268	954587224	33.86	0	24134
total_region	28193268	954587224	33.86	0	24134
