chrom	length	bases	mean	min	max
GG704911	8482323	157572419	18.58	0	190
GG704911_region	8482323	157572419	18.58	0	190
GG704912	5260912	101615094	19.32	0	202
GG704912_region	5260912	101615094	19.32	0	202
GG704913	4323945	75439615	17.45	0	317
GG704913_region	4323945	75439615	17.45	0	317
GG704914	3952524	73796586	18.67	0	634
GG704914_region	3952524	73796586	18.67	0	634
GG704915	3469364	75186276	21.67	0	375
GG704915_region	3469364	75186276	21.67	0	375
GG704916	3458857	68326698	19.75	0	359
GG704916_region	3458857	68326698	19.75	0	359
GG704917	68094	48939023	718.70	20	893
GG704917_region	68094	48939023	718.70	20	893
total	29016019	600875711	20.71	0	893
total_region	29016019	600875711	20.71	0	893
