chrom	length	bases	mean	min	max
GG704911	8482323	923264975	108.85	0	2212
GG704911_region	8482323	923264975	108.85	0	2212
GG704912	5260912	535603840	101.81	0	1575
GG704912_region	5260912	535603840	101.81	0	1575
GG704913	4323945	463035035	107.09	0	5214
GG704913_region	4323945	463035035	107.09	0	5214
GG704914	3952524	413769867	104.68	0	4897
GG704914_region	3952524	413769867	104.68	0	4897
GG704915	3469364	409018543	117.89	0	4355
GG704915_region	3469364	409018543	117.89	0	4355
GG704916	3458857	374548564	108.29	0	2786
GG704916_region	3458857	374548564	108.29	0	2786
GG704917	68094	80575814	1183.30	0	4198
GG704917_region	68094	80575814	1183.30	0	4198
total	29016019	3199816638	110.28	0	5214
total_region	29016019	3199816638	110.28	0	5214
