chrom	length	bases	mean	min	max
GG704911	8482323	343529367	40.50	0	1364
GG704911_region	8482323	343529367	40.50	0	1364
GG704912	5260912	189694663	36.06	0	553
GG704912_region	5260912	189694663	36.06	0	553
GG704913	4323945	183872826	42.52	0	1513
GG704913_region	4323945	183872826	42.52	0	1513
GG704914	3952524	158997544	40.23	0	1371
GG704914_region	3952524	158997544	40.23	0	1371
GG704915	3469364	154279593	44.47	0	2537
GG704915_region	3469364	154279593	44.47	0	2537
GG704916	3458857	130401126	37.70	0	905
GG704916_region	3458857	130401126	37.70	0	905
GG704917	68094	34672930	509.19	0	1597
GG704917_region	68094	34672930	509.19	0	1597
total	29016019	1195448049	41.20	0	2537
total_region	29016019	1195448049	41.20	0	2537
