chrom	length	bases	mean	min	max
GG704911	8482323	398531516	46.98	0	9971
GG704911_region	8482323	398531516	46.98	0	9971
GG704912	5260912	208869391	39.70	0	1687
GG704912_region	5260912	208869391	39.70	0	1687
GG704913	4323945	226273809	52.33	0	11501
GG704913_region	4323945	226273809	52.33	0	11501
GG704914	3952524	177240434	44.84	0	1040
GG704914_region	3952524	177240434	44.84	0	1040
GG704915	3469364	164694295	47.47	0	2022
GG704915_region	3469364	164694295	47.47	0	2022
GG704916	3458857	142646078	41.24	0	1553
GG704916_region	3458857	142646078	41.24	0	1553
GG704917	68094	124469907	1827.91	0	3645
GG704917_region	68094	124469907	1827.91	0	3645
total	29016019	1442725430	49.72	0	11501
total_region	29016019	1442725430	49.72	0	11501
