chrom	length	bases	mean	min	max
CP075068	8340845	450861574	54.05	0	168031
CP075068_region	8340845	450861574	54.05	0	168031
CP075069	8079863	475570903	58.86	0	1383800
CP075069_region	8079863	475570903	58.86	0	1383800
CP075070	6494557	345442316	53.19	0	169907
CP075070_region	6494557	345442316	53.19	0	169907
CP075071	3437093	195396997	56.85	0	401802
CP075071_region	3437093	195396997	56.85	0	401802
CP075072	1489275	82182392	55.18	0	13176
CP075072_region	1489275	82182392	55.18	0	13176
CP075073	119732	19182756	160.21	0	913
CP075073_region	119732	19182756	160.21	0	913
CP075074	80756	1315570	16.29	0	110
CP075074_region	80756	1315570	16.29	0	110
CP075075	76740	15650028	203.94	0	646
CP075075_region	76740	15650028	203.94	0	646
CP075680	74407	186546822	2507.11	0	4167
CP075680_region	74407	186546822	2507.11	0	4167
total	28193268	1772149358	62.86	0	1383800
total_region	28193268	1772149358	62.86	0	1383800
