chrom	length	bases	mean	min	max
CP075068	8340845	575148241	68.96	0	10154
CP075068_region	8340845	575148241	68.96	0	10154
CP075069	8079863	562072346	69.56	0	83041
CP075069_region	8079863	562072346	69.56	0	83041
CP075070	6494557	450238823	69.33	0	2709
CP075070_region	6494557	450238823	69.33	0	2709
CP075071	3437093	244365047	71.10	0	9328
CP075071_region	3437093	244365047	71.10	0	9328
CP075072	1489275	102182042	68.61	0	772
CP075072_region	1489275	102182042	68.61	0	772
CP075073	119732	56033425	467.99	0	2556
CP075073_region	119732	56033425	467.99	0	2556
CP075074	80756	2163430	26.79	0	77
CP075074_region	80756	2163430	26.79	0	77
CP075075	76740	55982559	729.51	0	2362
CP075075_region	76740	55982559	729.51	0	2362
CP075680	74407	276101550	3710.69	0	5990
CP075680_region	74407	276101550	3710.69	0	5990
total	28193268	2324287463	82.44	0	83041
total_region	28193268	2324287463	82.44	0	83041
