chrom	length	bases	mean	min	max
GG704911	8482323	586586324	69.15	0	64663
GG704911_region	8482323	586586324	69.15	0	64663
GG704912	5260912	310494604	59.02	0	2310
GG704912_region	5260912	310494604	59.02	0	2310
GG704913	4323945	304190844	70.35	0	82222
GG704913_region	4323945	304190844	70.35	0	82222
GG704914	3952524	249023428	63.00	0	3207
GG704914_region	3952524	249023428	63.00	0	3207
GG704915	3469364	244125606	70.37	0	2314
GG704915_region	3469364	244125606	70.37	0	2314
GG704916	3458857	212934725	61.56	0	5059
GG704916_region	3458857	212934725	61.56	0	5059
GG704917	68094	196179135	2881.00	0	4345
GG704917_region	68094	196179135	2881.00	0	4345
total	29016019	2103534666	72.50	0	82222
total_region	29016019	2103534666	72.50	0	82222
