chrom	length	bases	mean	min	max
CP075068	8340845	980022578	117.50	0	5472
CP075068_region	8340845	980022578	117.50	0	5472
CP075069	8079863	895930386	110.88	0	3535
CP075069_region	8079863	895930386	110.88	0	3535
CP075070	6494557	732221583	112.74	0	2167
CP075070_region	6494557	732221583	112.74	0	2167
CP075071	3437093	368162711	107.11	0	2162
CP075071_region	3437093	368162711	107.11	0	2162
CP075072	1489275	183238583	123.04	0	2558
CP075072_region	1489275	183238583	123.04	0	2558
CP075073	119732	26974118	225.29	0	5394
CP075073_region	119732	26974118	225.29	0	5394
CP075074	80756	3089220	38.25	0	256
CP075074_region	80756	3089220	38.25	0	256
CP075075	76740	21156715	275.69	0	2371
CP075075_region	76740	21156715	275.69	0	2371
CP075680	74407	136691895	1837.08	0	4069
CP075680_region	74407	136691895	1837.08	0	4069
total	28193268	3347487789	118.73	0	5472
total_region	28193268	3347487789	118.73	0	5472
