chrom	length	bases	mean	min	max
CP075068	8340845	281288596	33.72	0	1218
CP075068_region	8340845	281288596	33.72	0	1218
CP075069	8079863	266717184	33.01	0	660
CP075069_region	8079863	266717184	33.01	0	660
CP075070	6494557	214246596	32.99	0	514
CP075070_region	6494557	214246596	32.99	0	514
CP075071	3437093	110418843	32.13	0	492
CP075071_region	3437093	110418843	32.13	0	492
CP075072	1489275	47785190	32.09	0	513
CP075072_region	1489275	47785190	32.09	0	513
CP075073	119732	5785512	48.32	0	645
CP075073_region	119732	5785512	48.32	0	645
CP075074	80756	968006	11.99	0	76
CP075074_region	80756	968006	11.99	0	76
CP075075	76740	4707212	61.34	0	619
CP075075_region	76740	4707212	61.34	0	619
CP075680	74407	43653280	586.68	0	1681
CP075680_region	74407	43653280	586.68	0	1681
total	28193268	975570419	34.60	0	1681
total_region	28193268	975570419	34.60	0	1681
