chrom	length	bases	mean	min	max
CP075068	8340845	553595757	66.37	0	3535
CP075068_region	8340845	553595757	66.37	0	3535
CP075069	8079863	536849635	66.44	0	2377
CP075069_region	8079863	536849635	66.44	0	2377
CP075070	6494557	406346696	62.57	0	1293
CP075070_region	6494557	406346696	62.57	0	1293
CP075071	3437093	209317571	60.90	0	1182
CP075071_region	3437093	209317571	60.90	0	1182
CP075072	1489275	110064740	73.90	0	1545
CP075072_region	1489275	110064740	73.90	0	1545
CP075073	119732	13849263	115.67	0	2938
CP075073_region	119732	13849263	115.67	0	2938
CP075074	80756	1874674	23.21	0	110
CP075074_region	80756	1874674	23.21	0	110
CP075075	76740	11066107	144.20	0	1093
CP075075_region	76740	11066107	144.20	0	1093
CP075680	74407	190726616	2563.29	0	4859
CP075680_region	74407	190726616	2563.29	0	4859
total	28193268	2033691059	72.13	0	4859
total_region	28193268	2033691059	72.13	0	4859
