chrom	length	bases	mean	min	max
CP075068	8340845	284285689	34.08	0	521
CP075068_region	8340845	284285689	34.08	0	521
CP075069	8079863	269878344	33.40	0	2720
CP075069_region	8079863	269878344	33.40	0	2720
CP075070	6494557	222062695	34.19	0	417
CP075070_region	6494557	222062695	34.19	0	417
CP075071	3437093	123709798	35.99	0	423
CP075071_region	3437093	123709798	35.99	0	423
CP075072	1489275	55721515	37.42	0	419
CP075072_region	1489275	55721515	37.42	0	419
CP075073	119732	9511682	79.44	0	419
CP075073_region	119732	9511682	79.44	0	419
CP075074	80756	707635	8.76	0	34
CP075074_region	80756	707635	8.76	0	34
CP075075	76740	6055242	78.91	0	292
CP075075_region	76740	6055242	78.91	0	292
CP075680	74407	73758541	991.28	0	1256
CP075680_region	74407	73758541	991.28	0	1256
total	28193268	1045691141	37.09	0	2720
total_region	28193268	1045691141	37.09	0	2720
