chrom	length	bases	mean	min	max
GG704911	8482323	193586005	22.82	0	872
GG704911_region	8482323	193586005	22.82	0	872
GG704912	5260912	106594817	20.26	0	368
GG704912_region	5260912	106594817	20.26	0	368
GG704913	4323945	100222625	23.18	0	1293
GG704913_region	4323945	100222625	23.18	0	1293
GG704914	3952524	90780184	22.97	0	1187
GG704914_region	3952524	90780184	22.97	0	1187
GG704915	3469364	89147159	25.70	0	1613
GG704915_region	3469364	89147159	25.70	0	1613
GG704916	3458857	73388135	21.22	0	698
GG704916_region	3458857	73388135	21.22	0	698
GG704917	68094	15905233	233.58	0	863
GG704917_region	68094	15905233	233.58	0	863
total	29016019	669624158	23.08	0	1613
total_region	29016019	669624158	23.08	0	1613
