chrom	length	bases	mean	min	max
GG704911	8482323	539759642	63.63	0	1067
GG704911_region	8482323	539759642	63.63	0	1067
GG704912	5260912	308475708	58.64	0	1198
GG704912_region	5260912	308475708	58.64	0	1198
GG704913	4323945	277604037	64.20	0	1654
GG704913_region	4323945	277604037	64.20	0	1654
GG704914	3952524	240476904	60.84	0	3508
GG704914_region	3952524	240476904	60.84	0	3508
GG704915	3469364	237582901	68.48	0	2352
GG704915_region	3469364	237582901	68.48	0	2352
GG704916	3458857	212716689	61.50	0	1537
GG704916_region	3458857	212716689	61.50	0	1537
GG704917	68094	76250427	1119.78	0	1740
GG704917_region	68094	76250427	1119.78	0	1740
total	29016019	1892866308	65.24	0	3508
total_region	29016019	1892866308	65.24	0	3508
