chrom	length	bases	mean	min	max
CP075068	8340845	284873252	34.15	0	2654
CP075068_region	8340845	284873252	34.15	0	2654
CP075069	8079863	279278738	34.56	0	23689
CP075069_region	8079863	279278738	34.56	0	23689
CP075070	6494557	216901327	33.40	0	1164
CP075070_region	6494557	216901327	33.40	0	1164
CP075071	3437093	117454869	34.17	0	5929
CP075071_region	3437093	117454869	34.17	0	5929
CP075072	1489275	72305834	48.55	0	365
CP075072_region	1489275	72305834	48.55	0	365
CP075073	119732	5531105	46.20	0	497
CP075073_region	119732	5531105	46.20	0	497
CP075074	80756	831763	10.30	0	36
CP075074_region	80756	831763	10.30	0	36
CP075075	76740	3601950	46.94	0	137
CP075075_region	76740	3601950	46.94	0	137
CP075680	74407	59749638	803.01	0	1246
CP075680_region	74407	59749638	803.01	0	1246
total	28193268	1040528476	36.91	0	23689
total_region	28193268	1040528476	36.91	0	23689
