chrom	length	bases	mean	min	max
GG704911	8482323	5973283	0.70	0	82059
GG704911_region	8482323	5973283	0.70	0	82059
GG704912	5260912	3272678	0.62	0	6505
GG704912_region	5260912	3272678	0.62	0	6505
GG704913	4323945	4990563	1.15	0	101187
GG704913_region	4323945	4990563	1.15	0	101187
GG704914	3952524	2728764	0.69	0	3004
GG704914_region	3952524	2728764	0.69	0	3004
GG704915	3469364	17971175	5.18	0	1358
GG704915_region	3469364	17971175	5.18	0	1358
GG704916	3458857	1598014	0.46	0	5878
GG704916_region	3458857	1598014	0.46	0	5878
GG704917	68094	23536411	345.65	0	3016
GG704917_region	68094	23536411	345.65	0	3016
total	29016019	60070888	2.07	0	101187
total_region	29016019	60070888	2.07	0	101187
