chrom	length	bases	mean	min	max
CP075068	8340845	629997330	75.53	0	3742
CP075068_region	8340845	629997330	75.53	0	3742
CP075069	8079863	592612074	73.34	0	2515
CP075069_region	8079863	592612074	73.34	0	2515
CP075070	6494557	482222883	74.25	0	721
CP075070_region	6494557	482222883	74.25	0	721
CP075071	3437093	260206194	75.71	0	1602
CP075071_region	3437093	260206194	75.71	0	1602
CP075072	1489275	113329871	76.10	0	990
CP075072_region	1489275	113329871	76.10	0	990
CP075073	119732	23640556	197.45	0	1180
CP075073_region	119732	23640556	197.45	0	1180
CP075074	80756	1867406	23.12	0	71
CP075074_region	80756	1867406	23.12	0	71
CP075075	76740	18569983	241.99	0	685
CP075075_region	76740	18569983	241.99	0	685
CP075680	74407	106954325	1437.42	0	1868
CP075680_region	74407	106954325	1437.42	0	1868
total	28193268	2229400622	79.08	0	3742
total_region	28193268	2229400622	79.08	0	3742
